X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA
-58.4502098073742,-34.5662759014875,R025,721.000000,"ARREDONDO, Virrey@VUELTA DE OBLIGADO",Barrios
-58.4498153989062,-34.5650665112089,R025,720.000000,"PINO, Virrey del@ARCOS",Barrios
-58.4413759307532,-34.5817868169942,R026,719.000000,AREVALO@GORRITI,Barrios
-58.4415432667039,-34.5800398021139,R026,718.000000,DORREGO@ZAPIOLA,Barrios
-58.4414396513162,-34.5783322476857,R026,717.000000,"ARENAL, CONCEPCION@CONESA",Barrios
-58.4418782021067,-34.5767719761256,R026,716.000000,"DUMONT, SANTOS@CRAMER",Barrios
-58.4413836748151,-34.5744686244502,R026,715.000000,"MATIENZO, BENJAMIN,TTE.@CIUDAD DE LA PAZ",Barrios
-58.4289862112687,-34.57928870814,R027,730.000000,HUMBOLDT@CHARCAS,Barrios
-58.4288893362998,-34.5828076302349,R027,731.000000,GODOY CRUZ@GUATEMALA,Barrios
-58.4286195100133,-34.5840184495362,R027,732.000000,FRAY JUSTO SANTAMARIA DE ORO@SOLER,Barrios
-58.4288456589268,-34.5853144813984,R027,733.000000,URIARTE@NICARAGUA,Barrios
-58.4291465280111,-34.5867433548154,R027,734.000000,THAMES@COSTA RICA,Barrios
-58.420543370658,-34.5915780623808,R028,725.000000,"COSTA RICA@ACUÃƒÂA DE FIGUEROA, FRANCISCO",Barrios
-58.4226875387379,-34.5927855227143,R028,726.000000,GASCON@EL SALVADOR,Barrios
-58.4242863102748,-34.592870969099,R028,727.000000,"ALVAREZ, JULIAN@HONDURAS",Barrios
-58.4260828175451,-34.592789476134,R028,728.000000,ARAOZ@GORRITI,Barrios
-58.4303216415305,-34.5929448349139,R028,729.000000,"MALABIA@VEGA, NICETO, Cnel.",Barrios
-58.4223811406217,-34.6017511212305,R029,740.000000,"ACUÃƒÂA DE FIGUEROA, FRANCISCO@HUMAHUACA",Barrios
-58.4241029358151,-34.6028624944011,R029,741.000000,GASCON@CORRIENTES,Barrios
-58.425874282753,-34.6043106312961,R029,742.000000,PALESTINA@SARMIENTO,Barrios
-58.4275762811705,-34.6059465466308,R029,743.000000,"PRINGLES@PERON, JUAN DOMINGO, TTE.",Barrios
-58.4291489615767,-34.6071637250382,R029,744.000000,YATAY@POTOSI,Barrios
-58.4474634082973,-34.5857654976915,R030,750.000000,"ARENAL, CONCEPCION@ROSETI",Barrios
-58.447057780787,-34.5882501949561,R030,749.000000,GUEVARA@LEIVA,Barrios
-58.4459360348357,-34.5902794224851,R030,748.000000,BONPLAND@VERA,Barrios
-58.4459498610126,-34.5918275846741,R030,747.000000,FITZ ROY@VILLARROEL,Barrios
