año,mes,punto_cruce,punto_referencia,cantidad_ciclistas
2011,Abril,Virrey Liniers y C.Calvo,PB6,815
2011,Abril,Billin-ghurst y Peron,PB10,2438
2011,Abril,Del Liber-tador y Montevideo,PB11,1473
2011,Abril,Corredor Norte y Casares,PB12,2075
2011,Abril,EEUU y 33 Orientales,PB32,815
2011,Abril,F. Alcorta y Derecho,PB36,1215
2011,Abril,Montev y Peron,PB37,1166
2011,Abril,Potosi y Rawson,PB39,676
2011,Abril,J. Alvarez y Padilla,PB40,404
2011,Abril,Cnel. Diaz y Mansilla,PB48,381
2011,Abril,Arenales y Montevideo,PB52,571
2011,Mayo,Virrey Cevallos y Chile,PB1,1250
2011,Mayo,Azopar-do y Mexico,PB2,564
2011,Mayo,Rincon y Carlos Calvo,PB3,1009
2011,Mayo,Virrey Liniers y C.Calvo,PB6,1168
2011,Mayo,Billin-ghurst y Peron,PB10,2072
2011,Mayo,Del Liber-tador y Montevideo,PB11,1729
2011,Mayo,Corredor Norte y Casares,PB12,2044
2011,Mayo,EEUU y 33 Orientales,PB32,783
2011,Mayo,F. Alcorta y Derecho,PB36,1366
2011,Mayo,Montev y Peron,PB37,1075
2011,Mayo,Potosi y Rawson,PB39,706
2011,Mayo,J. Alvarez y Padilla,PB40,317
2011,Mayo,Cnel. Diaz y Mansilla,PB48,337
2011,Mayo,Arenales y Montevideo,PB52,504
2011,Junio,Virrey Cevallos y Chile,PB1,1336
2011,Junio,Azopar-do y Mexico,PB2,584
2011,Junio,Rincon y Carlos Calvo,PB3,1059
2011,Junio,Virrey Liniers y C.Calvo,PB6,752
2011,Junio,Billin-ghurst y Peron,PB10,1964
2011,Junio,Del Liber-tador y Montevideo,PB11,1559
2011,Junio,Corredor Norte y Casares,PB12,1738
2011,Junio,EEUU y 33 Orientales,PB32,616
2011,Junio,F. Alcorta y Derecho,PB36,1093
2011,Junio,Montev y Peron,PB37,925
2011,Junio,Potosi y Rawson,PB39,468
2011,Junio,J. Alvarez y Padilla,PB40,223
2011,Junio,Cnel. Diaz y Mansilla,PB48,300
2011,Junio,Arenales y Montevideo,PB52,448
2011,Julio,Virrey Cevallos y Chile,PB1,1149
2011,Julio,Azopar-do y Mexico,PB2,533
2011,Julio,Rincon y Carlos Calvo,PB3,740
2011,Julio,Virrey Liniers y C.Calvo,PB6,663
2011,Julio,Billin-ghurst y Peron,PB10,1555
2011,Julio,Del Liber-tador y Montevideo,PB11,969
2011,Julio,Corredor Norte y Casares,PB12,1168
2011,Julio,EEUU y 33 Orientales,PB32,490
2011,Julio,F. Alcorta y Derecho,PB36,821
2011,Julio,Montev y Peron,PB37,809
2011,Julio,Potosi y Rawson,PB39,441
2011,Julio,J. Alvarez y Padilla,PB40,243
2011,Julio,Cnel. Diaz y Mansilla,PB48,250
2011,Julio,Arenales y Montevideo,PB52,374
2011,Agosto,Virrey Cevallos y Chile,PB1,919
2011,Agosto,Azopar-do y Mexico,PB2,504
2011,Agosto,Rincon y Carlos Calvo,PB3,758
