centroide,cruce,año,turno,cantidad_ciclistas,tipo_relevamiento
512,"MANSO JUANA@VILLAFLOR, AZUCENA",2016,tarde,64,macrocentro
512,"MANSO JUANA@VILLAFLOR, AZUCENA",2017,mañana,29,macrocentro
512,"MANSO JUANA@VILLAFLOR, AZUCENA",2017,tarde,33,macrocentro
512,"MANSO JUANA@VILLAFLOR, AZUCENA",2018,mañana,45,macrocentro
512,"MANSO JUANA@VILLAFLOR, AZUCENA",2018,tarde,75,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2013,mañana,14,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2013,tarde,27,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2014,mañana,0,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2014,tarde,12,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2015,mañana,13,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2015,tarde,14,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2016,mañana,23,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2016,tarde,13,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2017,mañana,7,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2017,tarde,8,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2018,mañana,16,macrocentro
513,"CALABRIA AV.@VILLAFLOR, AZUCENA",2018,tarde,14,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2013,mañana,11,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2013,tarde,47,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2014,mañana,19,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2014,tarde,5,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2015,mañana,11,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2015,tarde,6,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2016,mañana,15,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2016,tarde,14,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2017,mañana,15,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2017,tarde,9,macrocentro
343,"

ACHAVAL RODRIGUES@VILLAFLOR, AZUCENA",2018,mañana,9,macrocentro
