centroide,cantidad_ciclistas,X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry
740,36.4,-58.4223811406217,-34.6017511212305,R029,740.0,"ACUÃƒÂA DE FIGUEROA, FRANCISCO@HUMAHUACA",Barrios,POINT (-58.4223811406217 -34.6017511212305)
741,15.700000000000001,-58.4241029358151,-34.6028624944011,R029,741.0,GASCON@CORRIENTES,Barrios,POINT (-58.4241029358151 -34.6028624944011)
742,5.1000000000000005,-58.425874282753,-34.6043106312961,R029,742.0,PALESTINA@SARMIENTO,Barrios,POINT (-58.425874282753 -34.6043106312961)
743,6.300000000000001,-58.4275762811705,-34.6059465466308,R029,743.0,"PRINGLES@PERON, JUAN DOMINGO, TTE.",Barrios,POINT (-58.4275762811705 -34.6059465466308)
744,29.400000000000002,-58.4291489615767,-34.6071637250382,R029,744.0,YATAY@POTOSI,Barrios,POINT (-58.4291489615767 -34.6071637250382)
746,15.3,-58.4458207903149,-34.5933534724551,R030,746.0,HUMBOLDT@CORRIENTES,Barrios,POINT (-58.4458207903149 -34.5933534724551)
747,2.6,-58.4459498610126,-34.5918275846741,R030,747.0,FITZ ROY@VILLARROEL,Barrios,POINT (-58.4459498610126 -34.5918275846741)
748,3.4000000000000004,-58.4459360348357,-34.5902794224851,R030,748.0,BONPLAND@VERA,Barrios,POINT (-58.4459360348357 -34.5902794224851)
749,3.7,-58.447057780787,-34.5882501949561,R030,749.0,GUEVARA@LEIVA,Barrios,POINT (-58.447057780787 -34.5882501949561)
750,4.1000000000000005,-58.4474634082973,-34.5857654976915,R030,750.0,"ARENAL, CONCEPCION@ROSETI",Barrios,POINT (-58.4474634082973 -34.5857654976915)
751,2.2,-58.4672896522221,-34.5869491574677,R031,751.0,ESTOMBA@GIRARDOT,Barrios,POINT (-58.4672896522221 -34.5869491574677)
752,2.9000000000000004,-58.4671804016827,-34.5886002839352,R031,752.0,HEREDIA@MONTENEGRO,Barrios,POINT (-58.4671804016827 -34.5886002839352)
753,1.9000000000000001,-58.4668953651626,-34.5916508391172,R031,753.0,ELCANO@BALBOA,Barrios,POINT (-58.4668953651626 -34.5916508391172)
754,1.8,-58.467082888195,-34.5932893480967,R031,754.0,PAZ SOLDAN@AVALOS,Barrios,POINT (-58.467082888195 -34.5932893480967)
755,0.9,-58.4671658425584,-34.595022511619,R031,755.0,"YERUA@BIELSA, RAFAEL, Dr.",Barrios,POINT (-58.4671658425584 -34.595022511619)
756,2.3000000000000003,-58.4910404394583,-34.6101558620605,R032,756.0,LASCANO@LLAVALLOL,Barrios,POINT (-58.4910404394583 -34.6101558620605)
757,1.9000000000000001,-58.4906514161306,-34.6091029547144,R032,757.0,GENOVA@CAMPANA,Barrios,POINT (-58.4906514161306 -34.6091029547144)
758,2.6,-58.4898860247348,-34.6078394900008,R032,758.0,ARREGUI@CUENCA,Barrios,POINT (-58.4898860247348 -34.6078394900008)
759,4.2,-58.4894268174166,-34.6061753044781,R032,759.0,SANTO TOME@HELGUERA,Barrios,POINT (-58.4894268174166 -34.6061753044781)
760,4.800000000000001,-58.4892239555478,-34.6041064681091,R032,760.0,"SASTRE, MARCOS@ARGERICH",Barrios,POINT (-58.4892239555478 -34.6041064681091)
