,id,codigo,nomoficial,alt_izqini,alt_izqfin,alt_derini,alt_derfin,nomanter,nom_mapa,tipo_c,long,sentido,cod_sent,observa,bicisenda,lado_ciclo,recorrid_x,anio_construccion,tooltip_bi,red_jerarq,red_tp,COMUNA,COM_PAR,COM_IMPAR,BARRIO,BARRIO_PAR,BARRIO_IMP,geometry
812,13648,3215,CHACO,2,50,1,99,QUITO,CHACO,CALLE,72.07,DECRECIENTE,-1,Reasignación de Sentidos de Circulación según Ley N° 3970 promulgada el 17/10/2011 y publicada en el Boletín Oficial 3.780 el día 31/10/2011,Ciclovías,"Por calzada paralela y adyacente a la vereda norte, en doble sentido de circulación según Resolución 232/SECTRANS/19 en BO Nº 5630 del 03/06/2019",,2019.0,Ciclovía,VÍA LOCAL,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.42879471753603 -34.61718609207695, -58.42908850369902 -34.6172040623695, -58.42957846027307 -34.61723314281573))"
813,13665,9010,INDEPENDENCIA AV.,502,600,501,599,,AV. INDEPENDENCIA,AVENIDA,124.8,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,SAN TELMO,SAN TELMO,SAN TELMO,"MULTILINESTRING ((-58.37308676751853 -34.61715691168568, -58.374442681324155 -34.61725192207754))"
814,13694,9010,INDEPENDENCIA AV.,602,700,601,699,,AV. INDEPENDENCIA,AVENIDA,135.52,CRECIENTE,1,,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,1,1,1,SAN TELMO,SAN TELMO,SAN TELMO,"MULTILINESTRING ((-58.374442681324155 -34.61725192207754, -58.375915292257744 -34.61735249407188))"
815,13717,3230,CHILE,2202,2300,2201,2299,,CHILE,CALLE,132.67,DECRECIENTE,-1,,Ciclovías,,,2011.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,3,3,3,BALVANERA,BALVANERA,BALVANERA,"MULTILINESTRING ((-58.39762685523455 -34.61732576158166, -58.39884462993056 -34.61742613062569, -58.399065918052855 -34.61744681097947))"
816,13723,7065,"GONZALEZ, ELPIDIO",4002,4100,4001,4099,INDIO,ELPIDIO GONZALEZ,CALLE,116.42,CRECIENTE,1,,Ciclovías,Calzada paralela y adyacente a la vereda sureste en doble sentido de circulación - Res. 8/SECTRANS/18 en BO 5301 del 24/01/2018,,2018.0,Ciclovía,VÍA LOCAL,,10,10,10,MONTE CASTRO,MONTE CASTRO,MONTE CASTRO,"MULTILINESTRING ((-58.49470472795056 -34.616722839253924, -58.49482069796406 -34.61682238807753, -58.495597551400216 -34.617468742367876))"
817,13726,13076,MEXICO,2702,2800,2701,2799,,MEXICO,CALLE,130.4,DECRECIENTE,-1,,Ciclovías,,,2014.0,Ciclovía,VÍA LOCAL,,3,3,3,BALVANERA,BALVANERA,BALVANERA,"MULTILINESTRING ((-58.40414129158317 -34.61704387974939, -58.40546975635489 -34.617462761406706))"
818,13739,19046,RIVADAVIA AV.,4802,4930,4801,4929,PRIMERA JUNTA (parcial),AV. RIVADAVIA,AVENIDA,195.26,CRECIENTE,1,corrección numeración 7-2,Carriles Preferenciales,,,,Carril preferencial,VÍA DISTRIBUIDORA PRINCIPAL,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.432862515863974 -34.61670364754409, -58.43312023451076 -34.61681779753281, -58.43473827344488 -34.61753622435462))"
819,13748,3230,CHILE,2302,2400,2301,2399,,CHILE,CALLE,98.53,DECRECIENTE,-1,,Ciclovías,,,2011.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,3,3,3,BALVANERA,BALVANERA,BALVANERA,"MULTILINESTRING ((-58.399065918052855 -34.61744681097947, -58.39931982885059 -34.617470536252114, -58.40013274962841 -34.617551242575466))"
820,13753,21004,TACUARI,702,800,701,799,,TACUARI,CALLE,132.07,CRECIENTE,1,,Ciclovías,,,2016.0,Ciclovía,VÍA DISTRIBUIDORA COMPLEMENTARIA,,1,1,1,MONSERRAT,MONSERRAT,MONSERRAT,"MULTILINESTRING ((-58.37884708443215 -34.61635799727227, -58.37877679704246 -34.61754704780739))"
821,13776,4079,DOBLAS,2,100,1,99,TORINO,DOBLAS,CALLE,140.99,DECRECIENTE,-1,correción numeración 16-1,Ciclovías,,,2014.0,Ciclovía,VÍA LOCAL,,6,6,6,CABALLITO,CABALLITO,CABALLITO,"MULTILINESTRING ((-58.43221277169429 -34.61641566312665, -58.43176826073047 -34.61763225462615))"
