centroide,cantidad_ciclistas,año,turno,barrios
339,25,2017-01-01,tarde,PUERTO MADERO
339,7,2018-01-01,mañana,PUERTO MADERO
339,42,2018-01-01,tarde,PUERTO MADERO
519,13,2013-01-01,mañana,PUERTO MADERO
519,12,2013-01-01,tarde,PUERTO MADERO
519,2,2014-01-01,mañana,PUERTO MADERO
519,0,2014-01-01,tarde,PUERTO MADERO
519,12,2015-01-01,mañana,PUERTO MADERO
519,14,2015-01-01,tarde,PUERTO MADERO
519,0,2016-01-01,mañana,PUERTO MADERO
519,0,2016-01-01,tarde,PUERTO MADERO
519,4,2017-01-01,mañana,PUERTO MADERO
519,30,2017-01-01,tarde,PUERTO MADERO
518,2,2013-01-01,mañana,PUERTO MADERO
518,8,2013-01-01,tarde,PUERTO MADERO
518,1,2014-01-01,mañana,PUERTO MADERO
518,18,2014-01-01,tarde,PUERTO MADERO
518,13,2015-01-01,mañana,PUERTO MADERO
518,11,2015-01-01,tarde,PUERTO MADERO
518,6,2016-01-01,mañana,PUERTO MADERO
518,10,2016-01-01,tarde,PUERTO MADERO
518,5,2017-01-01,mañana,PUERTO MADERO
518,17,2017-01-01,tarde,PUERTO MADERO
518,3,2018-01-01,mañana,PUERTO MADERO
518,10,2018-01-01,tarde,PUERTO MADERO
516,21,2013-01-01,mañana,PUERTO MADERO
516,12,2013-01-01,tarde,PUERTO MADERO
516,32,2014-01-01,mañana,PUERTO MADERO
516,33,2014-01-01,tarde,PUERTO MADERO
516,26,2015-01-01,mañana,PUERTO MADERO
516,36,2015-01-01,tarde,PUERTO MADERO
516,14,2016-01-01,mañana,PUERTO MADERO
516,27,2016-01-01,tarde,PUERTO MADERO
516,13,2017-01-01,mañana,PUERTO MADERO
516,37,2017-01-01,tarde,PUERTO MADERO
516,16,2018-01-01,mañana,PUERTO MADERO
516,82,2018-01-01,tarde,PUERTO MADERO
509,52,2013-01-01,mañana,RETIRO
509,46,2013-01-01,tarde,RETIRO
509,37,2014-01-01,mañana,RETIRO
509,45,2014-01-01,tarde,RETIRO
509,54,2015-01-01,mañana,RETIRO
509,33,2015-01-01,tarde,RETIRO
509,34,2016-01-01,mañana,RETIRO
509,37,2016-01-01,tarde,RETIRO
509,35,2017-01-01,mañana,RETIRO
509,41,2017-01-01,tarde,RETIRO
509,48,2018-01-01,mañana,RETIRO
509,57,2018-01-01,tarde,RETIRO
508,21,2013-01-01,mañana,RETIRO
508,50,2013-01-01,tarde,RETIRO
508,33,2014-01-01,mañana,RETIRO
508,57,2014-01-01,tarde,RETIRO
508,31,2015-01-01,mañana,RETIRO
508,45,2015-01-01,tarde,RETIRO
508,22,2016-01-01,mañana,RETIRO
508,31,2016-01-01,tarde,RETIRO
508,22,2017-01-01,mañana,RETIRO
508,41,2017-01-01,tarde,RETIRO
508,97,2018-01-01,mañana,RETIRO
508,48,2018-01-01,tarde,RETIRO
507,7,2013-01-01,mañana,SAN NICOLAS
507,8,2013-01-01,tarde,SAN NICOLAS
507,5,2014-01-01,mañana,SAN NICOLAS
507,13,2014-01-01,tarde,SAN NICOLAS
507,1,2015-01-01,mañana,SAN NICOLAS
507,5,2015-01-01,tarde,SAN NICOLAS
507,6,2016-01-01,mañana,SAN NICOLAS
507,5,2016-01-01,tarde,SAN NICOLAS
507,4,2017-01-01,mañana,SAN NICOLAS
507,8,2017-01-01,tarde,SAN NICOLAS
506,70,2013-01-01,mañana,SAN NICOLAS
506,39,2013-01-01,tarde,SAN NICOLAS
506,45,2014-01-01,mañana,SAN NICOLAS
506,40,2014-01-01,tarde,SAN NICOLAS
506,39,2015-01-01,mañana,SAN NICOLAS
506,34,2015-01-01,tarde,SAN NICOLAS
506,22,2016-01-01,mañana,SAN NICOLAS
506,18,2016-01-01,tarde,SAN NICOLAS
506,13,2017-01-01,mañana,SAN NICOLAS
506,30,2017-01-01,tarde,SAN NICOLAS
319,33,2013-01-01,mañana,MONSERRAT
319,42,2013-01-01,tarde,MONSERRAT
319,25,2014-01-01,mañana,MONSERRAT
319,37,2014-01-01,tarde,MONSERRAT
319,33,2015-01-01,mañana,MONSERRAT
319,41,2015-01-01,tarde,MONSERRAT
319,39,2016-01-01,mañana,MONSERRAT
319,36,2016-01-01,tarde,MONSERRAT
319,45,2017-01-01,mañana,MONSERRAT
319,50,2017-01-01,tarde,MONSERRAT
337,1,2013-01-01,mañana,MONSERRAT
337,2,2013-01-01,tarde,MONSERRAT
337,4,2014-01-01,mañana,MONSERRAT
337,1,2014-01-01,tarde,MONSERRAT
337,1,2015-01-01,mañana,MONSERRAT
337,3,2015-01-01,tarde,MONSERRAT
337,0,2016-01-01,mañana,MONSERRAT
337,5,2016-01-01,tarde,MONSERRAT
337,1,2017-01-01,mañana,MONSERRAT
337,0,2017-01-01,tarde,MONSERRAT
