X,Y,RECORRIDO,CENTROIDE,CRUCE,ÃREA,geometry,barrio
-58.377752674365,-34.6094020166253,R022,278.0,"PIEDRAS@YRIGOYEN,HIPOLITO",Macrocentro,POINT (-58.377752674365 -34.6094020166253),MONSERRAT
-58.3809751187659,-34.6036694286458,R023,274.0,"CORRIENTES@PELLEGRINI, CARLOS",Macrocentro,POINT (-58.3809751187659 -34.6036694286458),SAN NICOLAS
-58.3778571054376,-34.607054680009,R023,279.0,"ESMERALDA@MITRE, BARTOLOME",Macrocentro,POINT (-58.3778571054376 -34.607054680009),SAN NICOLAS
-58.3808353659212,-34.6060844959021,R023,271.0,"PELLEGRINI, CARLOS@PERON, JUAN DOMINGO, TTE.",Macrocentro,POINT (-58.3808353659212 -34.6060844959021),SAN NICOLAS
-58.3792171357538,-34.608297847025,R023,277.0,RIVADAVIA@TACUARI,Macrocentro,POINT (-58.3792171357538 -34.608297847025),SAN NICOLAS
-58.3793832792034,-34.6048381848562,R023,281.0,SARMIENTO@SUIPACHA,Macrocentro,POINT (-58.3793832792034 -34.6048381848562),SAN NICOLAS
-58.3768389739745,-34.5988082360445,R024,488.0,CORDOBA@MAIPU,Macrocentro,POINT (-58.3768389739745 -34.5988082360445),RETIRO
-58.3780710190748,-34.6034915274583,R024,282.0,CORRIENTES@ESMERALDA,Macrocentro,POINT (-58.3780710190748 -34.6034915274583),SAN NICOLAS
-58.3782079408537,-34.600077197415,R024,486.0,ESMERALDA@VIAMONTE,Macrocentro,POINT (-58.3782079408537 -34.600077197415),SAN NICOLAS
-58.3767027671566,-34.602302850364,R024,284.0,MAIPU@LAVALLE,Macrocentro,POINT (-58.3767027671566 -34.602302850364),SAN NICOLAS
-58.3795931126166,-34.6012803778757,R024,485.0,SUIPACHA@TUCUMAN,Macrocentro,POINT (-58.3795931126166 -34.6012803778757),SAN NICOLAS
-58.3812498976187,-34.5990312688095,R025,482.0,"CORDOBA@PELLEGRINI, CARLOS",Macrocentro,POINT (-58.3812498976187 -34.5990312688095),RETIRO
-58.378437809363,-34.5963677782301,R025,489.0,"ESMERALDA@ALVEAR, MARCELO T. De",Macrocentro,POINT (-58.378437809363 -34.5963677782301),RETIRO
-58.3798340958468,-34.5977261807738,R025,487.0,PARAGUAY@SUIPACHA,Macrocentro,POINT (-58.3798340958468 -34.5977261807738),RETIRO
-58.381035440791,-34.602517454683,R025,275.0,"PELLEGRINI, CARLOS@LAVALLE",Macrocentro,POINT (-58.381035440791 -34.602517454683),SAN NICOLAS
-58.3814845280381,-34.5953620583126,R025,484.0,"PELLEGRINI, CARLOS@SANTA FE",Macrocentro,POINT (-58.3814845280381 -34.5953620583126),RETIRO
-58.3800338145851,-34.5941111058657,R026,495.0,ARENALES@SUIPACHA,Macrocentro,POINT (-58.3800338145851 -34.5941111058657),RETIRO
-58.3815570817421,-34.5916010441236,R026,493.0,"ARROYO@PELLEGRINI, CARLOS",Macrocentro,POINT (-58.3815570817421 -34.5916010441236),RETIRO
-58.381968400162,-34.5886992305103,R026,494.0,DEL LIBERTADOR@CERRITO,Macrocentro,POINT (-58.381968400162 -34.5886992305103),RETIRO
-58.3778553805375,-34.5910789993746,R026,497.0,DEL LIBERTADOR@ESMERALDA,Macrocentro,POINT (-58.3778553805375 -34.5910789993746),RETIRO
-58.3785809022897,-34.5928871078987,R026,496.0,ESMERALDA@JUNCAL,Macrocentro,POINT (-58.3785809022897 -34.5928871078987),RETIRO
-58.3849131051422,-34.590451001007,R027,477.0,ALVEAR@PARERA,Macrocentro,POINT (-58.3849131051422 -34.590451001007),RETIRO
-58.3831483358459,-34.5915541327895,R027,491.0,CERRITO@ARROYO,Macrocentro,POINT (-58.3831483358459 -34.5915541327895),RETIRO
-58.3850250311645,-34.5870353021955,R027,478.0,DEL LIBERTADOR@RODRIGUEZ PENA,Macrocentro,POINT (-58.3850250311645 -34.5870353021955),RECOLETA
-58.3835461734287,-34.589607976536,R027,492.0,LIBERTAD@POSADAS,Macrocentro,POINT (-58.3835461734287 -34.589607976536),RETIRO
-58.3869174421359,-34.5907751625329,R027,476.0,"MONTEVIDEO@QUINTANA, MANUEL, PRES.",Macrocentro,POINT (-58.3869174421359 -34.5907751625329),RECOLETA
-58.3870628229381,-34.5970535256715,R028,467.0,"ALVEAR, MARCELO T. De@URUGUAY",Macrocentro,POINT (-58.3870628229381 -34.5970535256715),RECOLETA
-58.3828364482682,-34.5928339786536,R028,490.0,CERRITO@JUNCAL,Macrocentro,POINT (-58.3828364482682 -34.5928339786536),RETIRO
-58.3844135776203,-34.5944319650825,R028,469.0,LIBERTAD@ARENALES,Macrocentro,POINT (-58.3844135776203 -34.5944319650825),RETIRO
-58.3882018412683,-34.5983684316057,R028,465.0,PARAGUAY@PARANA,Macrocentro,POINT (-58.3882018412683 -34.5983684316057),RECOLETA
-58.3857480321172,-34.5956793409256,R028,468.0,SANTA FE@TALCAHUANO,Macrocentro,POINT (-58.3857480321172 -34.5956793409256),RETIRO
-58.3826632559325,-34.5968031751004,R029,483.0,"ALVEAR, MARCELO T. De@CERRITO",Macrocentro,POINT (-58.3826632559325 -34.5968031751004),RETIRO
-58.3854717127258,-34.5992276834411,R029,466.0,CORDOBA@TALCAHUANO,Macrocentro,POINT (-58.3854717127258 -34.5992276834411),RETIRO
-58.3840939315914,-34.5980805622191,R029,480.0,LIBERTAD@PARAGUAY,Macrocentro,POINT (-58.3840939315914 -34.5980805622191),RETIRO
-58.3880318370292,-34.6017128915219,R029,463.0,PARANA@TUCUMAN,Macrocentro,POINT (-58.3880318370292 -34.6017128915219),SAN NICOLAS
-58.3867904021076,-34.6005856749945,R029,464.0,URUGUAY@VIAMONTE,Macrocentro,POINT (-58.3867904021076 -34.6005856749945),SAN NICOLAS
-58.3865909747497,-34.6039985661226,R030,249.0,CORRIENTES@URUGUAY,Macrocentro,POINT (-58.3865909747497 -34.6039985661226),SAN NICOLAS
-58.3851978313964,-34.6026922882837,R030,250.0,LAVALLE@TALCAHUANO,Macrocentro,POINT (-58.3851978313964 -34.6026922882837),SAN NICOLAS
-58.3838801303695,-34.6014523129616,R030,479.0,LIBERTAD@TUCUMAN,Macrocentro,POINT (-58.3838801303695 -34.6014523129616),SAN NICOLAS
-58.3878916093425,-34.605363788225,R030,248.0,PARANA@SARMIENTO,Macrocentro,POINT (-58.3878916093425 -34.605363788225),SAN NICOLAS
-58.3824317965225,-34.6003247771747,R030,481.0,VIAMONTE@CERRITO,Macrocentro,POINT (-58.3824317965225 -34.6003247771747),SAN NICOLAS
-58.3822055306973,-34.6037398266756,R031,273.0,CERRITO@CORRIENTES,Macrocentro,POINT (-58.3822055306973 -34.6037398266756),SAN NICOLAS
