centroide,cantidad_ciclistas,año,turno,X,Y,RECORRIDO,CRUCE,ÃREA,geometry
513,13,2015,mañana,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,14,2015,tarde,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,23,2016,mañana,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,13,2016,tarde,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,7,2017,mañana,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,8,2017,tarde,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,16,2018,mañana,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
513,14,2018,tarde,-58.3591310642079,-34.6114845370676,R002,"DE LOS ITALIANOS@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3591310642079 -34.6114845370676)
343,11,2013,mañana,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,47,2013,tarde,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,19,2014,mañana,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,5,2014,tarde,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
343,11,2015,mañana,-58.3587766516986,-34.6113814347358,R002,"GIRALT, HERNAN M., INT., A@VILLAFLOR, AZUCENA",Macrocentro,POINT (-58.3587766516986 -34.6113814347358)
